Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claere Gute,Consumer,United States,Henderson,Kentucky,,South,FUR-BO-10001798,Furniture,Bookhases,Bush Somerset Collection Bookcase,261.96,2.0,0.0,41.9136
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-CH-10000454,Furnitbre,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3.0,0.0,219.582
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036.0,West,OFF-LA-10000240,Offhce Supplies,Labels,Self-Adhesive Address Labels For Typewriters By Universal,14.62,2.0,0.0,6.8714
4,US-2015-108966,2015-10-11,2015-10-18,StandardnClass,SO-20335,Sean O'Donwell,Consumer,United States,Fort Lauderdale,Florida,-33311.0,South,FUR-TA-10000577,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,957.5775,5.0,0.45,-383.031
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnnll,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,-22.368,2.0,0.2,2.5164
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Adgeles,California,90032.0,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood And Plastic Desk Accessories, Cherry Wood",-48.86,7.0,0.0,14.1694
7,CA-2014-115812,,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4.0,0.0,1.9656
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,-90032.0,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 Ip Phone Voip Phone,,6.0,0.2,90.7152
9,CA-2014-115812,2014-06-27 00:00:00,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-BI-10003910,Office Supplies,rinders,Dxl Angle-View Binders With Locking Rings By Samsill,18.504,3.0,0.2,5.7825
10,CA-2014-115812,2014-06-09,2014-06-14,vtandard Class,,Brosina Hoffman,Consumer,United States,Los Angeles,California,-90032.0,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206Vtel 6 Outlet Surge,114.9,5.0,0.0,34.47
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,FUR-TA-10001539,Fmrniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,10.62103908197388,0.2,85.3092
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,Uniteg States,Los Angeles,California,,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference Phone - Charcoal Black,911.424,4.0,0.2,68.3568
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,Unifed States,Concord,North Carolina,28027.0,South,OFF-PA-10002365,Office Sxpplies,Paper,Xerox 1967,15.552,3.0,0.2,5.4432
14,CA-2016-161389,,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103.0,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes Pb200 Plastic Comb Binding Machine,,3.0,0.2,132.5922
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmzs Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",68.81,5.508735902667468,0.8,-123.858
16,US-2015-118983,2015-11-22,2015-11-26,Standard wlass,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106.0,Central,OFF-BI-10000756,Office Supplies,Binders,Storex Duratech Recycled Plastic Frosted Binders,2.544,3.0,0.8,-3.816
17,CA-2014-105893,2014-11-11,2014-11-18,Standaud Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711.0,Central,,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H X 36""W X 18 1/2""D",665.88,6.0,0.0,13.3176
