order_id,product,category,price,quantity,total,date,email,payment_method
ORD1,Laptop,electronics,1200.5,2,2401.0,2024-03-10,user1@example.com,credit_card
ORD1002,Shoes,fashion,80.0,1,80.0,2024-03-11,user2@example.com,cash
,Phone,food,abc,,5412.69,,invalidemail,credit
ORD1001,Shirt,food,,,,32/13/2020,user@.com,
,Phone,fashion,2462.44,,1451.55,,,cash
ORD1003,,furnitur,abc,35,1217.41,,,credit
ORD1004,Shirt,food,,,,2025/09/09,,paypal
ORD1005,,Electronics,2704.44,3,80.28,32/13/2020,valid@email.com,credit
,Shirt,electronics,,42,8838.84,32/13/2020,invalidemail,
,Shirt,furnitur,2496.27,ten,,2023-09-29,user@.com,credt_card
ORD_DUP,Laptop,electronics,3391.16,,2392.19,,,credit
,TV,electronics,,,,19/08/2023,,credt_card
,Phone,food,4180.68,ten,,,invalidemail,cash
ORD1011,Chair,food,,,,09-09-2023,,cash
,Phone,food,4202.91,ten,,2023-10-20,user@.com,credt_card
,Laptop,furnitur,abc,,8828.23,,user@.com,cash
,Bread,Electronics,,ten,,,user@.com,cash
ORD_DUP,Bread,food,1889.38,17,2991.82,,,
ORD1016,Bread,Electronics,,60,,32/13/2020,valid@email.com,credit
ORD_DUP,,Electronics,2925.39,,6155.97,,,paypal
,Shirt,Electronics,2754.47,,,32/13/2020,user@.com,
,TV,Electronics,3926.6,84,1464.83,,,cash
ORD_DUP,,fashion,abc,,7713.53,,invalidemail,paypal
,Shirt,electronics,,,2802.55,06/07/2024,user@.com,
ORD1022,,Electronics,,37,3443.59,,user@.com,
,Bread,furnitur,4276.38,,6856.61,32/13/2020,user@.com,cash
,,electronics,,,6330.43,,invalidemail,
ORD1025,Phone,Electronics,,ten,,,user@.com,credt_card
,,furnitur,,20,5815.11,06-11-2025,invalidemail,credit
,,food,abc,80,6376.79,,,credit
ORD_DUP,Chair,electronics,abc,,4126.09,,invalidemail,credit
ORD1029,Chair,food,2740.47,,5334.1,,invalidemail,credit
,,electronics,abc,ten,9571.53,32/13/2020,user@.com,credt_card
ORD_DUP,,furnitur,,ten,,,valid@email.com,paypal
ORD_DUP,Shirt,food,abc,ten,,32/13/2020,,paypal
ORD_DUP,,fashion,abc,46,,32/13/2020,,credit
,Chair,fashion,4359.04,,8974.1,,,credit
ORD_DUP,Bread,electronics,,,,32/13/2020,,credt_card
ORD1036,Phone,fashion,,,,,invalidemail,credt_card
ORD_DUP,Shirt,furnitur,4099.94,12,2162.94,,,credt_card
,,furnitur,abc,ten,4876.18,2024/01/24,,credit
ORD1039,Shirt,electronics,abc,,8687.85,2024-11-03,user@.com,cash
ORD_DUP,Phone,Electronics,4790.64,ten,,,valid@email.com,
ORD_DUP,,electronics,,82,6376.73,10/03/2025,valid@email.com,credit
ORD1042,Phone,food,,ten,9235.1,,,
,Bread,furnitur,abc,83,6335.43,32/13/2020,user@.com,credit
,Shirt,electronics,abc,ten,5687.32,32/13/2020,,credt_card
,Phone,food,,,8850.24,,,
,Shirt,food,3651.83,16,,,invalidemail,cash
ORD1047,Laptop,furnitur,1835.88,ten,3097.95,,,credit
